id	name	gender	born_in	die_in	fa_label
133	Asghar Parsa	male	Khoy	Tehran	اصغر پارسا
134	Amanullah Jahanbani	male			امان‌الله جهانبانی
135	Asadollah Alam	male	Birjand	New York City	اسدالله علم
136	Reza Malekzadeh	male			رضا ملک‌زاده
137	منصور روحانی				منصور روحانی
138	Sadegh Mahsouli	male	Urmia		صادق محصولی
139	Mirza Nasrullah Khan	male		Tehran	نصرالله مشیرالدوله
140	Hasan Arfa	male			حسن ارفع
141	Mirza Mehdi Khan Astarabadi	male			میرزا مهدی استرآبادی
142	Mohammad Saed	male	Maragheh	Tehran	محمد ساعد
143	Ali Reza Asgari	male	Ardestan		علیرضا عسگری
144	Ali Younesi	male	Nahavand		علی یونسی
145	Mohammad Farrokhi Yazdi	male			محمد فرخی یزدی
146	Gholam Reza Aghazadeh	male	Khoy		غلام‌رضا آقازاده
147	Mohsen Rezaee	male	Masjed Soleyman		محسن رضایی
148	Mahmoud Hashemi Shahroudi	male	Najaf		محمود هاشمی شاهرودی
149	Ashraf Dehghani	female			اشرف دهقانی
150	Elaheh Koulaei	female			الهه کولایی
151	Hossein Saffar Harandi	male	Gorgan		محمدحسین صفار هرندی
152	Ali Fallahian	male	Najafabad		علی فلاحیان
153	Mehdi Hashemi	male	Isfahan		سید مهدی هاشمی
154	حبیب‌الله عین‌الملک				حبیب‌الله عین‌الملک
155	حجت‌الله ایوبی				حجت‌الله ایوبی
156	Nasser Moghadam	male	Tehran	Tehran	ناصر مقدم
157	Hashemi Rafsanjani		Bahreman		اکبر هاشمی رفسنجانی
158	Karim Sanjabi	male	Kermanshah	Carbondale, Illinois	کریم سنجابی
159	Abolhassan Banisadr	male	Hamedan		ابوالحسن بنی‌صدر
160	Ali Akbar Nategh Nouri	male	Nur, Iran		علی‌اکبر ناطق‌نوری
161	Sadeq Ganji				صادق گنجی
162	Mohammad Yeganeh	male			محمد ̯انه
163	حمید سیاح				حمید سیاح
164	Ali Shayegan	male			علی شا̯ان
165	Mostafa Moeen	male	Najafabad		مصطفی معین
166	Ali Shamkhani	male	Ahvaz		علی شمخانی
167	Heydar Moslehi	male	Shahreza		حیدر مصلحی
168	Habibollah Bitaraf	male			حبیب‌الله بیطرف
169	Morteza Agha Tehrani	male	Tiran, Iran		مرتضی آقاتهرانی
170	Rasoul Khadem	male	Mashhad		رسول خادم
171	Mohammad Saeedikia	male	Isfahan		محمد سعیدی‌کیا
172	Hadi Khamenei	male			سید هادی خامنه‌ای
173	Teymur Bakhtiar	male	Shahr e Kord		تیمور بختیار
174	Mohsen Mirdamadi	male	Najafabad		محسن میردامادی
175	Mohammad Khoshchehreh	male	Tehran		محمد خوش‌چهره
176	Amir Reza Khadem	male			امیررضا خادم
177	Masoumeh Ebtekar	female	Tehran		معصومه ابتکار
178	Ahmad Motevaselian				احمد متوسلیان
179	Majid Rahnema	male			مجید رهنما
180	Mohammad Khatami	male	Ardakan		سید محمد خاتمی
181	Hossein Ala	male	Tehran	Tehran	حسین علاء
182	Abol Ghasem Kashani	male	Tehran	Tehran	سید ابوالقاسم کاشانی
183	Abdolmalek Rigi	male		Tehran	عبدالمالک ر̯ی
184	Qazi Muhammad	male	Mahabad	Mahabad	قاضی محمد
185	Abdollah Javadi Amoli	male			عبدالله جوادی آملی
186	Hassan Abbasi	male			حسن عباسی
187	Ahmad Khomeini	male	Qom	Tehran	سید احمد خمینی
188	Manuchehr Eliasi				منوچهر الیاسی
189	Seyed Mehdi Miraboutalebi				سید مهدی میرابوطالبی
190	Ashraf Pahlavi	female	Tehran		اشرف پهلوی
